ns1:PERIODICAL-TITLE,ns1:LOCATION,ns1:TITLE,ns1:AUTHOR,ns1:ENGLISH,ns1:SPANISH,ns1:GENDER,ns1:LANGUAGE,ns1:ETHNICITY
"El Cronista del Valle, Brownsville, TX.","2, Febrero 1927 p.2",La noche entro en la sala,"Agustini, Delmira, 1886-1914","Poetry
Love in literature
1927","Poesía
Amor en la literatura",Female,Spanish,Uruguayan
"El cronista del Valle, Brownsville, TX","13 abril, 1928, p. 4",Lo inefable,"agustini, Delmira, 1886-1914","Poetry
Sonnet
Suffering in literature
1928","Poesía
Soneto
Sufrimiento en la literatura",Female,Spanish,Uruguayan
"El Cronista del Valle, Brownsville, TX","7 Septiembre, 1928, p. 2",La noche entro en la sala,"Agustini, Delmira, 1886-1914","Poetry
Love in literature
1928","Poesía
Amor en la literatura",Female,Spanish,Uruguayan
"El Cronista del Valle, Brownsville, TX.","3, Febrero 1927 p.2",El vampiro,"Agustini, Delmíra, 1886-1914","Poetry
Suffering in literature
1927","Poesía
Sufrimiento en la literatura",Female,Spanish,Uruguayan
"El Cronista del Valle, Brownsville, TX.","30, Enero 1927 p.3",Un beso,"Alemany, Ofelia","Essays
Love in literature
Kisses in literature
1927","Ensayos
Amor en la literatura
Besos en la literatura",Female,Spanish,
"El Continental, El Paso, TX.","19, Mayo 1935 p.4",Boda socialista,"Alvarado, Teresa María","Poetry
Marriage in literature
Socialism in literature
1935","Poesía
Matrimonio en la literatura
Socialismo en la literatura",Female,Spanish,
"La Evolución, Laredo, TX.","27, Julio 1918 [p.2]",¡Mujeres!! a ¡Votar!!,Ana María,"Essays
Women's suffrage in literature
Women in literature
1918
Women's rights
Feminism in literature","Ensayos
Voto femenino en la literatura
Mujeres en la literatura
Mujeres-Derechos
Feminismo en la literatura",Female,Spanish,
"La Evolución, Laredo, TX.","27, Julio 1918 [p.2]",¡Mujeres!! a ¡Votar!!,Ana María,"Essays
Women's suffrage in literature
Women in literature
1918
Women's rights
Feminism in literature","Ensayos
Voto femenino en la literatura
Mujeres en la literatura
Mujeres-Derechos
Feminismo en la literatura",Female,Spanish,
"El Eco, Kingsville, TX.","Octubre, 1938",Honrando a mi madre (165 del Him. A.P. y P.),"Ancira, L.","Poetry
Motherhood in literature
Mother and child
1938
Women and literature","Poesía
Maternidad en la literatura
Madre e hijo
Mujeres en la literatura",Female,Spanish,
"El Clarín del Norte, El Paso, TX. 1905-1906","18, Agosto 1906 p.4",Contrastes,"Armas, Piedad de","Poetry
Love poetry
1906",,Female,,
